Sub_Theme_ID,Sub_Theme_Name,Metric_ID,Metric_Name,G1_Impact_Mitigation,G1_Rationale,G2_Detection_Velocity,G2_Rationale,G3_Compliance_Audit,G3_Rationale,G4_Security_Awareness,G4_Rationale,G5_Operational_Efficiency,G5_Rationale,G6_Asset_Protection,G6_Rationale,G7_Collaboration_Intel,G7_Rationale,G8_Proactive_Defense,G8_Rationale
M-THM-01,Continuous Monitoring,CAN-MET-001,Mean Time to Detect (MTTD),Neutral,Faster detection limits blast radius but MTTD alone does not guarantee containment actions that mitigate impact.,Aligned,MTTD directly measures how quickly threats are identified within continuous monitoring workflows making it the primary detection velocity indicator.,Neutral,MTTD provides useful benchmarking data for audit but is not itself a compliance requirement within continuous monitoring.,Neutral,MTTD reflects tooling and process speed rather than analyst cognitive skill so it does not meaningfully signal security awareness gaps.,Aligned,Tracking MTTD within SIEM/IDS monitoring enables efficiency gains through process optimization and prioritization of alert channels.,Aligned,Reducing MTTD minimizes the window during which assets are exposed to active threats across the monitored environment.,Misaligned,MTTD is an internal SOC speed metric and does not measure intelligence sharing or collaborative detection with external partners.,Aligned,Low MTTD in continuous monitoring indicates mature sensor coverage and proactive threat visibility before adversaries achieve objectives.
M-THM-01,Continuous Monitoring,CAN-MET-008,Alert Volume / Workload,Neutral,Alert volume awareness helps resource allocation but high volume without quality filtering does not directly improve impact mitigation outcomes.,Misaligned,High alert volume in continuous monitoring does not equate to quality detection; it may mask true positives within noise and degrade detection velocity.,Neutral,Alert volume provides operational context for audit reviews but is not itself a compliance indicator in continuous monitoring.,Misaligned,Persistently high alert volume masks underlying analyst skill gaps and creates an illusion of activity without demonstrating genuine security awareness.,Neutral,Alert volume is a useful workload awareness measure but volume alone is a throughput indicator rather than an efficiency driver.,Neutral,Alert volume reflects the breadth of monitoring coverage but does not directly correlate with the protection of specific assets.,Neutral,Alert volume data can be shared across shifts and teams but it does not constitute meaningful threat intelligence collaboration.,Neutral,High alert volume may indicate broad sensor deployment but without quality filtering it does not advance proactive defense posture.
M-THM-01,Continuous Monitoring,CAN-MET-009,Analyst Productivity / Incidents per Shift,Misaligned,Productivity metrics incentivize closing incidents quickly which can lead to premature closure and failure to contain true threats reducing impact mitigation.,Misaligned,Incidents-per-shift throughput incentivizes cherry-picking easy false positives over investing time in genuine complex detections harming detection velocity.,Neutral,Analyst productivity provides operational data relevant for workforce planning audits but does not directly satisfy compliance requirements.,Neutral,Productivity counts measure throughput not analyst competency or awareness quality so they provide limited signal on security awareness.,Neutral,Analyst productivity is a standard operational efficiency measure providing throughput visibility for shift management.,Neutral,Throughput metrics do not directly correlate with the protection of specific assets unless quality of closure is also measured.,Neutral,Productivity per shift is an internal operational measure and does not facilitate inter-team or external intelligence collaboration.,Neutral,Productivity throughput metrics do not reflect proactive detection investment and offer no signal on emerging threat anticipation.
M-THM-01,Continuous Monitoring,CAN-MET-011,Analyst Burnout / Health,Neutral,Burned-out analysts make more errors during detection increasing the risk that threats persist and cause impact though the link is indirect.,Neutral,Analyst burnout can degrade alertness and detection quality over time but is an indirect rather than primary detection velocity driver.,Neutral,Burnout tracking is not a standard compliance metric but supports workforce governance and duty-of-care obligations.,Aligned,Monitoring analyst health directly measures human capital sustainability and signals when awareness and cognitive performance are at risk.,Aligned,Reducing analyst burnout sustains operational throughput and prevents attrition-driven efficiency losses in continuous monitoring.,Neutral,Burnout metrics do not directly measure asset protection capabilities though degraded analyst performance can indirectly increase asset risk.,Neutral,Burnout data is internally focused and does not contribute directly to threat intelligence sharing or collaborative defense activities.,Neutral,Analyst burnout monitoring supports workforce resilience but does not directly generate proactive threat intelligence or defensive actions.
M-THM-02,Alert Triage & Validation,CAN-MET-002,Mean Time to Acknowledge (MTTA),Neutral,Acknowledging alerts quickly is a prerequisite for containment but MTTA alone does not determine whether impact is ultimately mitigated.,Neutral,MTTA measures responsiveness speed at the triage layer but speed of acknowledgment does not guarantee accurate threat detection.,Aligned,MTTA is a standard SLA metric frequently cited in compliance frameworks as a measurable service level for alert triage processes.,Misaligned,Fast acknowledgment speed does not reflect analyst skill in evaluating alert legitimacy and may reward reflexive rather than analytical behavior.,Aligned,Low MTTA reduces idle time between alert generation and analyst engagement directly improving triage throughput and operational efficiency.,Neutral,MTTA measures process speed not the quality of asset-protective decisions made during triage.,Neutral,MTTA is an internal process metric that does not measure collaboration quality or intelligence sharing between SOC tiers.,Neutral,MTTA reflects reactive responsiveness and does not advance anticipatory or proactive threat detection capabilities.
M-THM-02,Alert Triage & Validation,CAN-MET-003,Mean Time to Triage (MTTT),Neutral,Faster triage enables quicker escalation of genuine threats contributing to impact limitation though MTTT itself is a process speed measure.,Aligned,MTTT directly measures analyst efficiency in working through alert queues supporting detection velocity by reducing time-to-decision.,Neutral,MTTT can be used as an SLA reference in compliance reporting though it is not a primary compliance requirement.,Neutral,Triage speed does not capture the quality or reasoning of analyst decisions and therefore does not indicate security awareness depth.,Aligned,Reducing MTTT improves shift throughput and reduces alert queue backlogs directly supporting operational efficiency.,Neutral,MTTT measures process speed at triage and does not directly reflect the quality of asset protection decisions.,Neutral,MTTT is an internal triage performance metric and does not measure intelligence sharing or inter-tier collaboration.,Misaligned,Optimizing for triage speed may create pressure to close alerts quickly without investing in the deep analysis required for proactive defense.
M-THM-02,Alert Triage & Validation,CAN-MET-005,False Positive Rate (FPR),Neutral,Lower FPR reduces noise and helps analysts focus on genuine threats improving the conditions for impact mitigation though not a direct control.,Neutral,Reducing FPR improves signal-to-noise ratio but aggressive threshold tuning to minimize FPR can create false-negative blindspots that harm detection velocity.,Neutral,FPR is not a standard compliance requirement but well-managed FPR supports the credibility of audit evidence and incident records.,Neutral,Low FPR improves analyst signal quality but blind tuning can mask gaps in detection capability without improving actual analyst security awareness.,Aligned,Reducing FPR lowers alert fatigue and allows analysts to focus cognitive effort on genuine threats improving operational efficiency.,Neutral,FPR management improves detection quality in triage but does not directly govern the protection of specific organizational assets.,Neutral,FPR is an internal tuning metric that does not facilitate external intelligence sharing or inter-team collaboration.,Misaligned,Aggressive FPR reduction through blind threshold loosening can create false-negative blindspots that undermine proactive defense posture.
M-THM-02,Alert Triage & Validation,CAN-MET-008,Alert Volume / Workload,Neutral,Alert volume awareness supports resource allocation at the triage layer but high volume does not directly improve impact mitigation.,Misaligned,High alert volume in triage and validation workflows does not indicate quality detection and can impede accurate identification of true positives.,Neutral,Alert volume provides operational context for compliance audits but is not itself a triage-specific compliance metric.,Misaligned,Sustained high alert volume during triage masks analyst skill gaps by creating an environment where speed of processing is prioritized over analytical quality.,Neutral,Alert volume is a useful workload measure for triage planning but does not independently drive operational efficiency improvements.,Neutral,Volume of alerts processed does not correlate with the quality of decisions made to protect specific assets.,Neutral,Alert volume data can inform shift handover discussions but does not represent substantive intelligence collaboration.,Neutral,High alert volume during validation does not indicate proactive defense capability and may divert resources from threat-hunting activities.
M-THM-02,Alert Triage & Validation,CAN-MET-009,Analyst Productivity / Incidents per Shift,Misaligned,Productivity throughput incentives during triage encourage premature closure of ambiguous alerts increasing the risk of unmitigated impacts.,Misaligned,Incidents-per-shift measures during triage reward easy-close behavior over thorough validation harming the accuracy of detection velocity.,Neutral,Analyst productivity data informs workforce planning for audit purposes but does not satisfy triage-specific compliance requirements.,Neutral,Productivity counts measure throughput volume not analytical quality or security awareness demonstrated during validation decisions.,Neutral,Analyst productivity provides triage throughput visibility useful for operational efficiency benchmarking and shift planning.,Neutral,Productivity throughput during triage does not directly reflect the quality of asset-protective investigation decisions.,Neutral,Productivity metrics are internally focused and do not contribute to collaboration or intelligence sharing across SOC tiers.,Neutral,Triage throughput metrics do not reflect the depth of investigation or threat anticipation associated with proactive defense.
M-THM-02,Alert Triage & Validation,CAN-MET-011,Analyst Burnout / Health,Neutral,Burnout during alert triage indirectly increases missed true positives but the metric does not directly control impact mitigation outcomes.,Neutral,Sustained burnout degrades analytical quality in triage over time but is an indirect rather than primary detection velocity driver.,Neutral,Analyst burnout is not a formal compliance requirement though it relates to workforce governance and duty-of-care standards.,Aligned,Monitoring burnout in triage-heavy roles directly measures human capital health and alerts leadership to degrading security awareness capacity.,Aligned,Managing analyst burnout sustains triage throughput and prevents attrition-driven efficiency degradation across the alert validation function.,Neutral,Burnout metrics do not directly measure asset protection quality though degraded analyst performance in triage increases asset exposure risk.,Neutral,Burnout data is internally focused and does not directly facilitate threat intelligence sharing or collaborative triage activities.,Neutral,Burnout monitoring supports analyst resilience but does not generate proactive intelligence or advance anticipatory defense capabilities.
